Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
280395962029361,RNAA  Red Nacional Ambiental-Animalista del Partido Alianza Verde,,,Organization,0,481,2,yes,https://www.facebook.com/RNAA-Red-Nacional-Ambiental-Animalista-del-Partido-Alianza-Verde-280395962029361/
494796217322155,Antonio Sanguino Páez,,antonio.sanguino.79,Political Organization,0.08,6539,63,no,https://www.facebook.com/antonio.sanguino.79/
515600455164384,La Voz De Yopal,,SuramComCo,Radio Station,0.36,112426,11270,no,https://www.facebook.com/SuramComCo/
159848270795155,Compromiso Ciudadano,,compromisociudadanoco,Political Organization,0.11,13530,1711,yes,https://www.facebook.com/compromisociudadanoco/
1646211032336032,Ladino,,ladinoHuila,Community,0.04,9173,143,yes,https://www.facebook.com/ladinoHuila/
300952200014333,Hecho En CASA,,hechoencasagir,Food & Beverage Company,0,2196,1,yes,https://www.facebook.com/hechoencasagir/
249881778394539,Rigor Mortis,,,Podcast,0,196,1,yes,https://www.facebook.com/Rigor-Mortis-249881778394539/
123905300955489,Ejército Nacional de Colombia,,ejercitocolombia,Government Organization,0.17,980332,30407,no,https://www.facebook.com/ejercitocolombia/
245598932260466,Mis Curiosidades,,latierraysuscuriosidades,Community,1.92,9415049,470797,yes,https://www.facebook.com/latierraysuscuriosidades/
1483918641869460,Rodrigo Lara Sánchez,,larasanchezrodrigo,Politician,0.14,28094,1424,yes,https://www.facebook.com/larasanchezrodrigo/
1049494131750815,PamplonaTeve,,pamplonateve,Media/News Company,0,878,9,yes,https://www.facebook.com/pamplonateve/
370924116617,Alianza Verde Meta,,partidoverdevillavicencio,Political Party,0,1459,0,yes,https://www.facebook.com/partidoverdevillavicencio/
315691848625591,Alianza VERDE Cajica,,,Politician,0,157,11,yes,https://www.facebook.com/Alianza-VERDE-Cajica-315691848625591/
491511750900761,David Calderon Alvarez,,DAvidCalderonSuba,Public Figure,0,385,1,yes,https://www.facebook.com/DAvidCalderonSuba/
101003743564271,Jóvenes Partido Verde,,jovenes.partidoverde.1,Political Party,0,1345,1,yes,https://www.facebook.com/jovenes.partidoverde.1/
686428438152020,Roger Nick,,soyrogernick,Political Organization,0,1152,2,yes,https://www.facebook.com/soyrogernick/
438221496348657,Juanita de los Ángeles Ariza Guzmán,,JuanitadelosAngelesArizaGuzman,Author,0.13,8074,72,yes,https://www.facebook.com/JuanitadelosAngelesArizaGuzman/
751055421669801,"Partido Alianza Verde Guataquí, Cundinamarca.",,,Political Organization,0,106,0,yes,https://www.facebook.com/Partido-Alianza-Verde-Guataquí-Cundinamarca-751055421669801/
241208089230937,Alianza Verde Madrid Cundinamarca,,,Political Party,0,159,0,yes,https://www.facebook.com/Alianza-Verde-Madrid-Cundinamarca-241208089230937/
910032875720828,Firmes con Bogotá,,FirmesConBogota,Community,0,526,0,yes,https://www.facebook.com/FirmesConBogota/
51571361925,Carlos Vicente de Roux,,CVderoux,Politician,0,7907,5,yes,https://www.facebook.com/CVderoux/
1421983674772675,Ismael V,,ismaelvcreativo,Artist,0.03,128,1,no,https://www.facebook.com/ismaelvcreativo/
299421523597613,AlianzaVerde Risaralda,,partidoverde.risaralda,Political Party,0.01,2798,3,yes,https://www.facebook.com/partidoverde.risaralda/
491719864313231,Alianza verde dorada,,,Political Party,0,75,2,yes,https://www.facebook.com/Alianza-verde-dorada-491719864313231/
549937955142119,Partido Alianza Verde Villavicencio,,,Political Organization,0,173,1,yes,https://www.facebook.com/Partido-Alianza-Verde-Villavicencio-549937955142119/
6815841748,Barack Obama,,barackobama,Politician,0.01,54816179,234353,no,https://www.facebook.com/barackobama/
156992297688308,Green Citizen Engagement,,,Community,0.14,6837,217,yes,https://www.facebook.com/Green-Citizen-Engagement-156992297688308/
233609130017513,Michel Maya,,michelmayabedoya,Politician,0.01,4047,6,no,https://www.facebook.com/michelmayabedoya/
191167267615764,Diana Alejandra Rodríguez Cortés,,DianaAlejandraRodriguezC,Politician,0.05,4832,7,yes,https://www.facebook.com/DianaAlejandraRodriguezC/
237246116479100,Alianza Verde Dosquebradas,,dosquebradasdecorazon,Community,0,315,0,yes,https://www.facebook.com/dosquebradasdecorazon/
